,Event_Name,Venue,Addresses,Event_Date,Number_of_Attendees
10,"Esseks, Crimes","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",29 Jun 2018,1
11,7yrs Of Project B. [Invite Only],TBA - Atlanta,To Be Announced,30 Jun 2018,63
12,"DJ Taye, Ethereal, No Eyes","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",30 Jun 2018,3
13,Deep South River Rave,"<a class=""cat-rev"" href=""/club.aspx?id=150961"" title=""Club profile of The River's Edge"">The River's Edge</a>"," 2311 Pulliam Mill Road, Dewy Rose, Georgia 30634",29 Jun 2018 ,2
14,Late Night Tuff Guy,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",30 Jun 2018,2
15,Local Grind: Special Edition,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",30 Jun 2018,1
16,Opera Nightclub Turns 11 presents Morgan Page Live,"<a class=""cat-rev"" href=""/club.aspx?id=14299"" title=""Club profile of Opera Nightclub"">Opera Nightclub</a>"," 1150 Crescent Ave NE B, Atlanta, GA 30309, USA",30 Jun 2018,0
17,Prescription Underground presents - I Hear Music in the Streets,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",3 Jul 2018,3
18,Liquified presents Amine Edge & Dance,"<a class=""cat-rev"" href=""/club.aspx?id=14299"" title=""Club profile of Opera Nightclub"">Opera Nightclub</a>"," 1150 Crescent Ave NE B, Atlanta, GA 30309, USA",6 Jul 2018,2
19,"Woolymammoth, Great Dane, 10th Letter, Digital D","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",6 Jul 2018,1
20,Bknyatl: Tyrone Francis' Birthday Celebration,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",6 Jul 2018,1
21,Deep South ATL,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",6 Jul 2018,1
22,Collage presents - Adisyn,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",7 Jul 2018,7
23,Alley Cat Music with Nick Monaco,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",7 Jul 2018,1
24,Expressions with Ash Lauryn and Stefan Ringer,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",13 Jul 2018,1
25,"Higher Learning, Charolastra, Thefamilyorchestra, Tvpes","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",13 Jul 2018,0
26,sub•tle presents Tim Baresko with Noel Sanger,"<a class=""cat-rev"" href=""/club.aspx?id=40262"" title=""Club profile of Sidebar"">Sidebar</a>"," 79 Poplar Street, NW Atlanta, GA 30303",14 Jul 2018,2
27,"SOUP NYC Atlanta Takeover - Sydney Blu, Love & Logic, More","<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",14 Jul 2018,1
28,Fleetmac Wood presents Rumours Rave - Atlanta,"<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",19 Jul 2018,42
29,La Choloteca,"<a class=""cat-rev"" href=""/club.aspx?id=29727"" title=""Club profile of MJQ Concourse"">MJQ Concourse</a>"," 736 Ponce De Leon Place, Atlanta, GA",19 Jul 2018,1
30,Collage presents: Mari.te,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",20 Jul 2018,10
31,Project X Bad Boy Bill & Richard (Humpty) Vission Back to Vinyl,"<a class=""cat-rev"" href=""/club.aspx?id=154646"" title=""Club profile of Mansion Elan"">Mansion Elan</a>"," 595 Claimont Rd NE, Atlanta, Georgia 30319",20 Jul 2018,1
32,"Kloudmen, Joe Nice, Section 8","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",20 Jul 2018,0
33,Alley Cat Music with Juan Atkins,"<a class=""cat-rev"" href=""/club.aspx?id=148275"" title=""Club profile of Okami"">Okami</a>"," 645 Shelton Ave SW Atlanta, Ga 30310",21 Jul 2018,5
34,Deep South presents Chelsea Starr,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",21 Jul 2018,2
35,Meet & Greet Social,"<a class=""cat-rev"" href=""/club.aspx?id=154612"" title=""Club profile of Coconut Grill"">Coconut Grill</a>"," 4181 Steve Reynolds Boulevard, Norcross 30093",21 Jul 2018,0
36,Tambor July Party,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",21 Jul 2018,0
37,Chaka Khan Hacienda X La Choloteca,"<a class=""cat-rev"" href=""/club.aspx?id=152191"" title=""Club profile of 8arm"">8arm</a>"," 710 Ponce De Leon Ave NE, Atlanta, GA 30306",22 Jul 2018,1
0,Alley Cat Music with My Favorite Robot,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",27 Jul 2018,4
1,"Daedelus, Holly, Wylie Cable","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",27 Jul 2018,2
2,Elevate presents: Santoku Records,"<a class=""cat-rev"" href=""/club.aspx?id=132750"" title=""Club profile of Cue Club at Lava Lounge"">Cue Club at Lava Lounge</a>"," 57 13th St NE, Atlanta, GA 30309, USA",27 Jul 2018,1
3,Local Grind,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",27 Jul 2018,0
4,Sunset: Friends & Family [Invite Only],TBA - Atlanta,To Be Announced,28 Jul 2018 ,55
5,Project B. Sunset Rooftop Party,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",28 Jul 2018,3
6,VLSC Records presents The Pharmacy,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",28 Jul 2018,2
7,Psycho Disco! 3 Year Anniversary,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",28 Jul 2018,1
8,Sunset: Friends & Family [Invite Only],TBA - Atlanta,To Be Announced,28 Jul 2018 ,55
9,"Kursa, Reso","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",1 Aug 2018,1
10,Collage presents: Brian Cid,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",3 Aug 2018,10
11,La Choloteca presents El Star Barrio,"<a class=""cat-rev"" href=""/club.aspx?id=37211"" title=""Club profile of The Star Bar"">The Star Bar</a>"," 437 Moreland Ave, Atlanta, GA 30307, USA",3 Aug 2018,1
12,Roni Size,"<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",3 Aug 2018,0
13,Penumbra presents: Aeon feat. Axkan,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",4 Aug 2018,3
14,subtle presents Frankie Bones,"<a class=""cat-rev"" href=""/club.aspx?id=40262"" title=""Club profile of Sidebar"">Sidebar</a>"," 79 Poplar Street, NW Atlanta, GA 30303",4 Aug 2018,2
15,"Lil Ugly Mane, Nickelus F, Lord Narf, Nurse, Hyena, Divine Interface","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",7 Aug 2018,0
16,"Ras G, Stlndrms, 10th Letter, Blkcubes, Leemlizzy, Kreatev","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",8 Aug 2018,0
17,"No Place Like Atlanta with David Hohme, Newman, & Modd","<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",9 Aug 2018,45
18,"Kahn & Neek, Compa, Clerks b2b Section 8, Vlsc Takeover Feat. Mull, Antwarp 2nd Floor, Charolas","<a class=""cat-rev"" href=""/club.aspx?id=40262"" title=""Club profile of Sidebar"">Sidebar</a>"," 79 Poplar Street, NW Atlanta, GA 30303",9 Aug 2018,2
19,Liquified presents Chris Lake,"<a class=""cat-rev"" href=""/club.aspx?id=14299"" title=""Club profile of Opera Nightclub"">Opera Nightclub</a>"," 1150 Crescent Ave NE B, Atlanta, GA 30309, USA",10 Aug 2018,2
20,Audio Rover,"<a class=""cat-rev"" href=""/club.aspx?id=146714"" title=""Club profile of Revery: VR Bar"">Revery: VR Bar</a>"," 728 Monroe Dr. Suite C, Atlanta, Georgia 30308",10 Aug 2018,1
21,Detroit Loves Atlanta,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",10 Aug 2018,1
22,"Proko, Partywave, Kozmic, Lean Mean","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",10 Aug 2018,0
23,Project B. presents Dj W!ld,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",11 Aug 2018,21
24,Sunday Service with Vicki Powell & Brian Rojas,"<a class=""cat-rev"" href=""/club.aspx?id=150953"" title=""Club profile of Sister Louisa's Church"">Sister Louisa's Church</a>"," 466 Edgewood Ave SE, Atlanta, Georgia 30312",12 Aug 2018,2
25,La Choloteca,"<a class=""cat-rev"" href=""/club.aspx?id=29727"" title=""Club profile of MJQ Concourse"">MJQ Concourse</a>"," 736 Ponce De Leon Place, Atlanta, GA",16 Aug 2018,1
26,Black Moth Super Rainbow,"<a class=""cat-rev"" href=""/club.aspx?id=12045"" title=""Club profile of Masquerade"">Masquerade</a>"," 695 North Avenue NE; Atlanta, GA 30308; United States",17 Aug 2018,1
27,Deep South with Manu Miran,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",18 Aug 2018,1
28,Tambor 9 Year Anniversary Party,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",18 Aug 2018,1
29,No Wifi: RnB Edition,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",21 Aug 2018,0
30,"Luke Vibert, Richard Devine, Treppenwitz, Mesa","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",22 Aug 2018,2
31,Smothered + Covered,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",22 Aug 2018,1
0,Bloody Mary,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",24 Aug 2018,3
1,Disco Juice Unlimited Experience,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",24 Aug 2018,2
2,Sunset: Friends & Family [Invite Only],TBA - Atlanta,To Be Announced,25 Aug 2018 ,51
3,Housewerk with Halogen & Friends,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",25 Aug 2018,1
4,Cultilate: Showatl Cultivate Afterparty,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",25 Aug 2018,1
5,Sunset: Friends & Family [Invite Only],TBA - Atlanta,To Be Announced,25 Aug 2018 ,51
6,Sundresses & Sangria,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",26 Aug 2018,0
7,GBE presents: Pretty Connected,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",26 Aug 2018,0
8,The Atlanta Weekender/Atlwkndr 2018,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",30 Aug 2018 ,4
9,The Atlanta Weekender/Atlwkndr 2018,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",30 Aug 2018 ,4
10,Saeed Younan,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",31 Aug 2018,3
11,Distinctive with Frankie Feliciano,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",31 Aug 2018,2
12,The Late Night Ritual (Afterhours),"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",31 Aug 2018,1
13,Free Ur Soul,TBA - Atlanta,To Be Announced,31 Aug 2018,1
14,Welcome/Check In Party,"<a class=""cat-rev"" href=""/club.aspx?id=21655"" title=""Club profile of Moods Music"">Moods Music</a>"," 1131 Euclid Ave NE, Atlanta, GA 30307-1925",31 Aug 2018,0
15,The Atlanta Weekender/Atlwkndr 2018,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",30 Aug 2018 ,4
16,Sept 1: Mark Farina,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",1 Sep 2018,3
17,"House Dance Workshop with Brian ""Footwork"" Green","<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",1 Sep 2018,2
18,Afrique Electrique,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",1 Sep 2018,2
19,Alley Cat After Hours,"<a class=""cat-rev"" href=""/club.aspx?id=148275"" title=""Club profile of Okami"">Okami</a>"," 645 Shelton Ave SW Atlanta, Ga 30310",1 Sep 2018,1
20,Alley Cat Music with Kevin Saunderson,"<a class=""cat-rev"" href=""/club.aspx?id=148275"" title=""Club profile of Okami"">Okami</a>"," 645 Shelton Ave SW Atlanta, Ga 30310",2 Sep 2018,19
21,The Atlanta Weekender/Atlwkndr 2018,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",30 Aug 2018 ,4
22,House In The Park,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",2 Sep 2018,3
23,House In The Park After Party,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",2 Sep 2018,2
24,The Atlanta Weekender/Atlwkndr 2018,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",30 Aug 2018 ,4
25,Recovery: The Official ATLWKNDR Farewell Party,"<a class=""cat-rev"" href=""/club.aspx?id=21655"" title=""Club profile of Moods Music"">Moods Music</a>"," 1131 Euclid Ave NE, Atlanta, GA 30307-1925",4 Sep 2018,1
26,Bknyatl: with Resident DJ Tyrone Francis,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",7 Sep 2018,1
27,Cardio ATL Pres. College Cardio,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",7 Sep 2018,0
28,Zemya Fest 2018,TBA - Atlanta,To Be Announced,8 Sep 2018 ,65
29,Merge & Sidebar,"<a class=""cat-rev"" href=""/club.aspx?id=40262"" title=""Club profile of Sidebar"">Sidebar</a>"," 79 Poplar Street, NW Atlanta, GA 30303",8 Sep 2018,1
30,Zemya Fest 2018,TBA - Atlanta,To Be Announced,8 Sep 2018 ,65
31,Sunday Service with Vicki Powell & Brian Rojas,"<a class=""cat-rev"" href=""/club.aspx?id=150953"" title=""Club profile of Sister Louisa's Church"">Sister Louisa's Church</a>"," 466 Edgewood Ave SE, Atlanta, Georgia 30312",9 Sep 2018,2
32,Contrastatl (Intimate Bass Edition) feat. Special Guest Birdthug,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",13 Sep 2018,0
33,Pop Up Rooftop Special: YokoO x Bobi Stevkovski,"<a class=""cat-rev"" href=""/club.aspx?id=157241"" title=""Club profile of The Rooftop"">The Rooftop</a>", 421 Edgewood Ave. Atlanta GA 30312 USA,14 Sep 2018,57
34,Collage X Rendezvous presents: Coriesu,TBA - Atlanta,To Be Announced,15 Sep 2018,5
35,Deep South Residents Night,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",15 Sep 2018,3
36,subtle presents Bot,"<a class=""cat-rev"" href=""/club.aspx?id=40262"" title=""Club profile of Sidebar"">Sidebar</a>"," 79 Poplar Street, NW Atlanta, GA 30303",15 Sep 2018,1
37,La Choloteca 2 Year Anniversary,"<a class=""cat-rev"" href=""/club.aspx?id=29727"" title=""Club profile of MJQ Concourse"">MJQ Concourse</a>"," 736 Ponce De Leon Place, Atlanta, GA",20 Sep 2018,1
38,Imagine Festival,TBA - Atlanta,To Be Announced,21 Sep 2018,3
39,"Prefuse 73, Deku, Day Tripper, Chris Devoe","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",21 Sep 2018,1
40,Lit Friday at Lava Lounge,"<a class=""cat-rev"" href=""/club.aspx?id=149258"" title=""Club profile of Cosmo Lava Lounge"">Cosmo Lava Lounge</a>"," 57 13th Street Northeast, Atlanta 30309",21 Sep 2018,0
41,Dimensions of Being & The Space Between present: Biology,"<a class=""cat-rev"" href=""/club.aspx?id=156556"" title=""Club profile of District Atlanta"">District Atlanta</a>"," 269 Armour Drive NE, Atlanta, GA 30324, USA",22 Sep 2018,36
42,Wiggle Factor feat. Jon Hester,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",22 Sep 2018,16
43,Psycho Disco,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",22 Sep 2018,1
0,Ott,"<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",26 Sep 2018,0
1,Unity Deep,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",27 Sep 2018,1
2,Corona Electric Beach Road To EDC Ft. Gryffin,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",28 Sep 2018,7
3,Substance presents Dave Seaman,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",28 Sep 2018,2
4,"EPROM, Mono/Poly, Ives","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",28 Sep 2018,2
5,Sunset: Friends & Family,TBA - Atlanta,To Be Announced,29 Sep 2018,42
6,"KUDZU x DKA present Alessandro Adriani, Kai Alce, Twins, Robert Ansley","<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",29 Sep 2018,3
7,Fülproof,"<a class=""cat-rev"" href=""/club.aspx?id=113431"" title=""Club profile of Speakeasy Lounge"">Speakeasy Lounge</a>"," 156 Forsyth St SW, Atlanta, GA 30303",29 Sep 2018,1
8,Take The Crown,"<a class=""cat-rev"" href=""/club.aspx?id=154646"" title=""Club profile of Mansion Elan"">Mansion Elan</a>"," 595 Claimont Rd NE, Atlanta, Georgia 30319",29 Sep 2018,0
9,Vibe Street RNB Party,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",30 Sep 2018,1
10,Dave Morales,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",30 Sep 2018,1
11,Deep South: Ash Lauryn,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",5 Oct 2018,2
12,Sunset: Friends & Family [Invite Only],TBA - Atlanta,To Be Announced,6 Oct 2018,34
13,"Ritual - Mesa, Koh^nim, Tito Mazzetta, Komron","<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",6 Oct 2018,4
14,Steve Aoki,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",6 Oct 2018,2
15,Steve Aoki,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",6 Oct 2018,0
16,Chaka Khan Hacienda Season Finale,"<a class=""cat-rev"" href=""/club.aspx?id=152191"" title=""Club profile of 8arm"">8arm</a>"," 710 Ponce De Leon Ave NE, Atlanta, GA 30306",7 Oct 2018,2
17,Carl Craig,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",12 Oct 2018,7
18,R3hab,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",12 Oct 2018,0
19,Deep South Pride with Octo Octa,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",13 Oct 2018,5
20,Deep South Afters with Marceauxmarceaux & Ash Lauryn,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",14 Oct 2018 ,2
21,"Sunday Service Pride with Ree De La Vega, Ash Lauryn, Vicki Powell","<a class=""cat-rev"" href=""/club.aspx?id=150953"" title=""Club profile of Sister Louisa's Church"">Sister Louisa's Church</a>"," 466 Edgewood Ave SE, Atlanta, Georgia 30312",14 Oct 2018,1
22,Afrojack Supporting ST. Jude Children's Hospital,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",18 Oct 2018,2
23,Claude Von Stroke World Tour 2018,"<a class=""cat-rev"" href=""/club.aspx?id=7594"" title=""Club profile of Opera"">Opera</a>"," 1150B Peachtree Street; Atlanta, GA 30309; United States",19 Oct 2018,2
24,Tambor Party,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",20 Oct 2018,1
0,"Jerry Paper, Kiefer, Prophet, Stimulator Jones","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",24 Oct 2018,2
