,Event_Name,Venue,Addresses,Event_Date,Number_of_Attendees
5,Russ Liquid & Recess,"<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",3 Oct 2017,1
6,BAEZ (Miami),"<a class=""cat-rev"" href=""/club.aspx?id=137858"" title=""Club profile of Alibi"">Alibi</a>"," 956 Spring St. nw Atlanta, Ga 30309",6 Oct 2017,8
7,Com Truise & Cleopold,"<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",6 Oct 2017,2
8,Jack City with A Guy Called Gerald Live - Extended Set,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",7 Oct 2017,2
9,Gorillaz North American Tour,"<a class=""cat-rev"" href=""/club.aspx?id=133670"" title=""Club profile of Infinite Energy Arena"">Infinite Energy Arena</a>"," 6400 Sugarloaf Pkwy, Duluth, GA 30097",11 Oct 2017,1
10,Daas Unterground presents: Friday 13,"<a class=""cat-rev"" href=""/club.aspx?id=141075"" title=""Club profile of Liquid"">Liquid</a>", 307 W River St,13 Oct 2017,2
11,Rooftop: Friends & Family [Invite Only],TBA - Atlanta,To Be Announced,14 Oct 2017,45
12,Moscoman,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",14 Oct 2017,2
13,Unity presents: Gai Barone,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",14 Oct 2017,1
14,No Lite x Nameless presents: Doth Ye Know,"<a class=""cat-rev"" href=""/club.aspx?id=103261"" title=""Club profile of Kaleidoscape"">Kaleidoscape</a>"," 825 Warner St, Atlanta, Georgia 30310",14 Oct 2017,0
15,Tocayo,"<a class=""cat-rev"" href=""/club.aspx?id=137858"" title=""Club profile of Alibi"">Alibi</a>"," 956 Spring St. nw Atlanta, Ga 30309",20 Oct 2017,3
16,"Louis the Child, Lauv, Win and Woo","<a class=""cat-rev"" href=""/club.aspx?id=6143"" title=""Club profile of The Tabernacle"">The Tabernacle</a>"," 152 Luckie Street NW; Atlanta, GA 30303; United States",20 Oct 2017 ,2
17,Weekend with db Kolektive,TBA - Atlanta,To Be Announced,21 Oct 2017 ,46
18,LCD Soundsystem,"<a class=""cat-rev"" href=""/club.aspx?id=136622"" title=""Club profile of Coca-Cola Roxy"">Coca-Cola Roxy</a>"," 800 Battery Avenue Southeast, Atlanta, GA 30339, United States",21 Oct 2017,2
19,"Louis the Child, Lauv, Win and Woo","<a class=""cat-rev"" href=""/club.aspx?id=6143"" title=""Club profile of The Tabernacle"">The Tabernacle</a>"," 152 Luckie Street NW; Atlanta, GA 30303; United States",20 Oct 2017 ,2
20,Tambor Party,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",21 Oct 2017,1
21,"Kalya Scintilla Feat. Eve Olution, Whitebear, Merkaba Feat. Eve Olution","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",21 Oct 2017,1
22,Weekend with db Kolektive,TBA - Atlanta,To Be Announced,21 Oct 2017 ,46
23,LCD Soundsystem,"<a class=""cat-rev"" href=""/club.aspx?id=136622"" title=""Club profile of Coca-Cola Roxy"">Coca-Cola Roxy</a>"," 800 Battery Avenue Southeast, Atlanta, GA 30339, United States",22 Oct 2017,1
0,Kevin Saunderson,"<a class=""cat-rev"" href=""/club.aspx?id=137858"" title=""Club profile of Alibi"">Alibi</a>"," 956 Spring St. nw Atlanta, Ga 30309",27 Oct 2017,7
1,"No Lite x APX, Hell- Bent",TBA - Atlanta,To Be Announced,27 Oct 2017,2
2,Tech Noir Halloween Mini-Fest,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",28 Oct 2017,11
3,Chosen Few Djs presents Chosen Life ATL,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",28 Oct 2017,1
4,Slow Magic,"<a class=""cat-rev"" href=""/club.aspx?id=12045"" title=""Club profile of Masquerade"">Masquerade</a>"," 695 North Avenue NE; Atlanta, GA 30308; United States",29 Oct 2017,0
5,Flying Lotus in 3D,"<a class=""cat-rev"" href=""/club.aspx?id=6143"" title=""Club profile of The Tabernacle"">The Tabernacle</a>"," 152 Luckie Street NW; Atlanta, GA 30303; United States",2 Nov 2017,1
6,Randall M,"<a class=""cat-rev"" href=""/club.aspx?id=137858"" title=""Club profile of Alibi"">Alibi</a>"," 956 Spring St. nw Atlanta, Ga 30309",3 Nov 2017,3
7,Blank Banshee,"<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",9 Nov 2017,1
8,Expressions with Hanna aka Warren Harris,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",10 Nov 2017,4
9,Jonwayne / Danny Watts / DJ EMV / Lingua Franca / Wes Da Ruler,"<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",10 Nov 2017,1
10,Project B. Showcase with YokoO and Bobi Stevkovski,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",11 Nov 2017,30
11,Troyboi,"<a class=""cat-rev"" href=""/club.aspx?id=12045"" title=""Club profile of Masquerade"">Masquerade</a>"," 695 North Avenue NE; Atlanta, GA 30308; United States",11 Nov 2017,1
12,SIT [Cristi Cons & Vlad Caia] Atlanta Debut Brought to you by Collage + [email protected],"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",17 Nov 2017,19
13,Tocayo,"<a class=""cat-rev"" href=""/club.aspx?id=137858"" title=""Club profile of Alibi"">Alibi</a>"," 956 Spring St. nw Atlanta, Ga 30309",17 Nov 2017,2
14,DjRUM at Collision-ATL,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",17 Nov 2017 ,1
15,Kelela,"<a class=""cat-rev"" href=""/club.aspx?id=12045"" title=""Club profile of Masquerade"">Masquerade</a>"," 695 North Avenue NE; Atlanta, GA 30308; United States",18 Nov 2017,1
16,Tchami x Malaa,"<a class=""cat-rev"" href=""/club.aspx?id=6143"" title=""Club profile of The Tabernacle"">The Tabernacle</a>"," 152 Luckie Street NW; Atlanta, GA 30303; United States",18 Nov 2017,0
17,Ekali / Josh Pan / Y2K,"<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",21 Nov 2017,1
18,Thanks for Dancing // Turkey Day Eve Party,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",22 Nov 2017,3
19,"King Britt, Stefan Ringer","<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",22 Nov 2017,0
0,"Jeremy Ismael, Tocayo, Willmer Periera","<a class=""cat-rev"" href=""/club.aspx?id=137858"" title=""Club profile of Alibi"">Alibi</a>"," 956 Spring St. nw Atlanta, Ga 30309",24 Nov 2017,3
1,Felix Da Housecat,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",24 Nov 2017,1
2,The Sak Pase Party,"<a class=""cat-rev"" href=""/club.aspx?id=132750"" title=""Club profile of Cue Club at Lava Lounge"">Cue Club at Lava Lounge</a>"," 57 13th St NE, Atlanta, GA 30309, USA",24 Nov 2017,0
3,"Project B. Showcase with Janeret, Bobi Stevkovski & Zeek","<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",25 Nov 2017,29
4,House for the Holidays,"<a class=""cat-rev"" href=""/club.aspx?id=137858"" title=""Club profile of Alibi"">Alibi</a>"," 956 Spring St. nw Atlanta, Ga 30309",1 Dec 2017,1
5,NDATL Muzik Pres. Derrick May,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",2 Dec 2017,74
6,DJ Sneak,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",8 Dec 2017,4
7,Talla 2xlc: Legends of Trance Series by Unity Events,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",9 Dec 2017,1
8,Vice Mondays At Tongue and Groove - Rsvp Here For Free Entry All Night,"<a class=""cat-rev"" href=""/club.aspx?id=144512"" title=""Club profile of Tongue And Groove"">Tongue And Groove</a>", 2420 Piedmont Road Northeast,11 Dec 2017,1
9,Excursions: Atlanta 2017,"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",16 Dec 2017,3
